id,username,created_at,lng,lat,text
1531742007038984193,WillyAitch,Tue May 31 20:58:47 +0000 2022,145.0531355,-37.9725665,"Option A: Go to work and deal with peopleOption B: Leave the heater on, and stay in bed 🤔"
1531742111741140994,franwalder,Tue May 31 20:59:12 +0000 2022,150.8589055,-34.4399715,"The Age is useful in the dunny, but not much else!"
1531742290695565312,aileeneksdi,Tue May 31 20:59:55 +0000 2022,150.931975,-33.848244,Oketnana naglammin!!! It's officially winter!!! https://t.co/NQyT5SpcRX
1531742302116675585,Serby2010,Tue May 31 20:59:57 +0000 2022,152.9931965,-27.382143,@OnthisdayRN @MikeCarlton01 @RoyalNavy Important to remember these events from history  😢😢😢😢
1531742322982940672,valentine_1962,Tue May 31 21:00:02 +0000 2022,149.1297825,-35.3139795,"@MikeCarlton01 “Whoops there goes another year, whoops there goes another pint of beer” 🍺 So relieved to have PM… https://t.co/FHjf6ZuAWv"
1531742383746031618,jisseforecasts,Tue May 31 21:00:17 +0000 2022,151.42295837,-33.28504944,"06:52 Temp. 8.6°C, Hum. 84%, Dewp. 5.3°C, Bar. 1004.9 hpa, Rain Today 0.1000 mm, Wind 102° 2.9 km/h"
1531742395594727424,Soopoman,Tue May 31 21:00:20 +0000 2022,150.8589055,-34.4399715,"@green123000 @TScYthe6 @fullsquadgaming @Clayster @JakeSucky The majority of ADHD stimulant medications, such as (A… https://t.co/3eqDukw9LV"
1531742407074541568,BaysNet,Tue May 31 21:00:22 +0000 2022,150.931975,-33.848244,@Erasec Bring them back. I like energy efficient design. Why do you need to carry four electric motors around with… https://t.co/HiycdQfDWP
1531742415715184640,nickystevo,Tue May 31 21:00:24 +0000 2022,152.806873,-25.290388,G’day💕wishing you all a euphoric day💕with love from Hervey Bay💕 #goodmorning #frasercoast #positive #Mentalhealth… https://t.co/ooSRzqcD7A
1531742439320346624,theonlygirlhere,Tue May 31 21:00:30 +0000 2022,150.931975,-33.848244,@dlc2410 @JuliaTempler It’s 9 deg now but when I went out at 5.45 I reckon it was 7 with a big  wind chill factor making it feel even less!
1531742447667392512,DennisPassa,Tue May 31 21:00:32 +0000 2022,152.9931965,-27.382143,Nice.
1531742569734238208,Fbyengee,Tue May 31 21:01:01 +0000 2022,145.0531355,-37.9725665,Working during winter should be banned😴🥶
1531742580811403264,grugstan,Tue May 31 21:01:04 +0000 2022,145.0531355,-37.9725665,@EddieSynot @fmarked Extremely true.
1531742612885237761,AndrewBartlett,Tue May 31 21:01:11 +0000 2022,152.9931965,-27.382143,@UtilaTheEcon @MattSinapi @kevinbonham @OckhamNative @tserong Germany has been mostly 2 party dominated despite the… https://t.co/FaKBc7Jies
1531742659072901121,LadyPoop2,Tue May 31 21:01:22 +0000 2022,138.61115999999998,-35.000766999999996,@mjrowland68 @JimmyBarnes @BreakfastNews @CosmosMagazine Favourite Human - ALBO!Favourite Mammal - Jimmy Barnes😉😊😇
1531742662923284480,fentonpompey,Tue May 31 21:01:23 +0000 2022,150.931975,-33.848244,Holy shit it's freezing this morning
1531742675472289792,marygorxxnd,Tue May 31 21:01:26 +0000 2022,153.3693615,-27.9542215,why r u so soft man https://t.co/2fR7mwbOIk
1531742713745244160,leroy370,Tue May 31 21:01:36 +0000 2022,145.0531355,-37.9725665,@rosscoulthart @ChrisKMellon @DeptofDefense Chris Mellon has now written two of these detailed articles for public… https://t.co/OlR1hilHSX
1531742721483845632,DunkenKBliths,Tue May 31 21:01:37 +0000 2022,138.61115999999998,-35.000766999999996,"""Finally the hub caps I have been looking for""... every Tesla driver.."
1531742762088931328,ianp68,Tue May 31 21:01:47 +0000 2022,145.02153,-37.8867,#postrun #beattherain #wcc #lovegoodcoffee @forth_brother ☕️ @5sensescoffee @ Forth Brother Cafe https://t.co/u97jQjIVIV
1531742806636568576,RobBendigo,Tue May 31 21:01:58 +0000 2022,144.28232450000002,-36.7371585,@abcnews And Residential Aged Care staffed only by PCAs with no medical treatment abilities. If there were RNs on s… https://t.co/MkoANGcfJC
